order_id,product_id,unit_price,quantity,discount,total_price,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_postal_code,ship_country,order_year,order_month,order_day,company_name,contact_name,contact_title,address,city,postal_code,country,order_count,customer_segment,AvgOrderValue,product_name,supplier_id,category_id,quantity_per_unit,unit_price_y,units_in_stock,units_on_order,reorder_level,discontinued,price_segment,category_name,description
10248,11,14.0,12,0.0,168.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,51100,France,1996,7,4,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,51100,France,5.0,New,148.0,Queso Cabrales,5,4,1 kg pkg.,21.0,22,30,30,0,Standard,Dairy Products,Cheeses
10248,42,9.8,10,0.0,98.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,51100,France,1996,7,4,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,51100,France,5.0,New,148.0,Singaporean Hokkien Fried Mee,20,5,32 - 1 kg pkgs.,14.0,26,0,0,1,Economy,Grains/Cereals,"Breads, crackers, pasta, and cereal"
10248,72,34.8,5,0.0,174.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,51100,France,1996,7,4,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,51100,France,5.0,New,148.0,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0,Standard,Dairy Products,Cheeses
10249,14,18.6,9,0.0,167.4,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,44087,Germany,1996,7,5,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,44087,Germany,6.0,Regular,341.2957142857143,Tofu,6,7,40 - 100 g pkgs.,23.25,35,0,0,0,Standard,Produce,Dried fruit and bean curd
10249,51,42.4,40,0.0,1696.0,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,44087,Germany,1996,7,5,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,44087,Germany,6.0,Regular,341.2957142857143,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,20,0,10,0,Standard,Produce,Dried fruit and bean curd
10250,41,7.7,10,0.0,77.0,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,1996,7,8,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,14.0,Loyal,1026.2928125,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,85,0,10,0,Economy,Seafood,Seaweed and fish
10250,51,42.4,35,0.15,1261.3999999999999,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,1996,7,8,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,14.0,Loyal,1026.2928125,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,20,0,10,0,Standard,Produce,Dried fruit and bean curd
10250,65,16.8,15,0.15,214.2,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,1996,7,8,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,14.0,Loyal,1026.2928125,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,76,0,0,0,Standard,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
10251,22,16.8,6,0.05,95.76,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,69004,France,1996,7,8,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,69004,France,10.0,Regular,367.29720000000003,Gustaf's Knäckebröd,9,5,24 - 500 g pkgs.,21.0,104,0,25,0,Standard,Grains/Cereals,"Breads, crackers, pasta, and cereal"
10251,57,15.6,15,0.05,222.29999999999998,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,69004,France,1996,7,8,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,69004,France,10.0,Regular,367.29720000000003,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,36,0,20,0,Economy,Grains/Cereals,"Breads, crackers, pasta, and cereal"
10251,65,16.8,20,0.0,336.0,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,69004,France,1996,7,8,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,69004,France,10.0,Regular,367.29720000000003,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,76,0,0,0,Standard,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
10252,20,64.8,40,0.05,2462.4,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,1996,7,9,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,12.0,Loyal,617.6610256410256,Sir Rodney's Marmalade,8,3,30 gift boxes,81.0,40,0,0,0,Luxury,Confections,"Desserts, candies, and sweet breads"
10252,33,2.0,25,0.05,47.5,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,1996,7,9,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,12.0,Loyal,617.6610256410256,Geitost,15,4,500 g,2.5,112,0,20,0,Economy,Dairy Products,Cheeses
10252,60,27.2,40,0.0,1088.0,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,1996,7,9,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,12.0,Loyal,617.6610256410256,Camembert Pierrot,28,4,15 - 300 g rounds,34.0,19,0,0,0,Standard,Dairy Products,Cheeses
10253,31,10.0,20,0.0,200.0,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,1996,7,10,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,14.0,Loyal,1026.2928125,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,0,70,20,0,Economy,Dairy Products,Cheeses
